ForecastID,Region,ForecastDate,PredictedDemandMWh,PredictedProductionMWh,ForecastErrorPct
1,North,2018-01-01,6938.875390779934,4905.310883179654,0.329
2,North,2018-01-02,7007.286343616929,4721.308217702687,9.112
3,North,2018-01-03,7533.899171589448,3999.1398793229905,5.703
4,North,2018-01-04,7209.388414579267,3859.7046701002487,3.81
5,North,2018-01-05,6569.204934924154,4352.278203438048,6.663
6,North,2018-01-06,7200.085232111526,4118.515406088306,9.646
7,North,2018-01-07,6275.679005275913,4180.076101010304,1.023
8,North,2018-01-08,7298.588502762174,5590.740397827048,1.597
9,North,2018-01-09,6137.289600726447,4528.511608628427,7.125
10,North,2018-01-10,6937.752255886894,4948.9703759066715,4.147
11,North,2018-01-11,6166.161670643764,4972.711335646424,0.182
12,North,2018-01-12,8120.544277425573,4904.934602303211,9.505
13,North,2018-01-13,6733.492974749646,3965.2667444926706,12.129
14,North,2018-01-14,5359.863788908377,4401.5105076005875,4.309
15,North,2018-01-15,6347.732240888609,4654.956297450861,5.396
16,North,2018-01-16,5741.143249523896,4883.003672534609,7.731
17,North,2018-01-17,6873.215225124555,4707.90739680831,3.723
18,North,2018-01-18,6911.664765513364,4212.8026674187695,9.845
19,North,2018-01-19,7195.475108111126,5003.657565284734,2.492
20,North,2018-01-20,7210.750930694961,4923.24111670176,3.714
21,North,2018-01-21,7128.671709292139,4492.47571244637,5.45
22,North,2018-01-22,7800.557224583609,5003.745516900912,5.509
23,North,2018-01-23,7050.18026122097,5062.933494587991,1.71
24,North,2018-01-24,6613.640157644885,4759.416585045843,2.066
25,North,2018-01-25,7289.540314277717,3865.6384381652942,0.61
26,North,2018-01-26,6545.614364740112,4328.94631187982,3.259
27,North,2018-01-27,5886.637694014897,5818.522909272066,14.817
28,North,2018-01-28,7244.826705775058,5092.070481319657,10.282
29,North,2018-01-29,6796.25909114278,4941.534957639494,1.514
30,North,2018-01-30,7847.2609421406105,5155.546427011603,3.076
31,North,2018-01-31,6338.485253634834,5373.086410083587,1.838
